family,hyperparameter,observed_type,n_unique_observed,observed_values_or_range,configured_max_trials,source
cnn,batchnorm,numeric,2,0.000000 .. 1.000000,50,runs/cnn/tuning_results.csv
cnn,dense_units,numeric,5,0.000000 .. 256.000000,50,runs/cnn/tuning_results.csv
cnn,dropout,numeric,5,0.000000 .. 0.400000,50,runs/cnn/tuning_results.csv
cnn,filters_base,numeric,7,16.000000 .. 64.000000,50,runs/cnn/tuning_results.csv
cnn,kernel_size,numeric,2,3.000000 .. 5.000000,50,runs/cnn/tuning_results.csv
cnn,l2_reg,numeric,62,0.000006 .. 0.000984,50,runs/cnn/tuning_results.csv
cnn,learning_rate,numeric,62,0.000123 .. 0.000980,50,runs/cnn/tuning_results.csv
cnn,num_blocks,numeric,4,2.000000 .. 5.000000,50,runs/cnn/tuning_results.csv
cnn,optimizer,categorical,2,"adam, rmsprop",50,runs/cnn/tuning_results.csv
cnn_attention,attention_placement,categorical,2,"all, last_two",50,runs/cnn_attention/tuning_results.csv
cnn_attention,attention_type,categorical,3,"cbam, none, se",50,runs/cnn_attention/tuning_results.csv
cnn_attention,batchnorm,numeric,2,0.000000 .. 1.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,dense_units,numeric,5,0.000000 .. 256.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,dropout,numeric,5,0.000000 .. 0.400000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,filters_base,numeric,7,16.000000 .. 64.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,kernel_size,numeric,2,3.000000 .. 5.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,l2_reg,numeric,50,0.000000 .. 0.000996,50,runs/cnn_attention/tuning_results.csv
cnn_attention,learning_rate,numeric,50,0.000128 .. 0.001000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,num_blocks,numeric,4,2.000000 .. 5.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,optimizer,categorical,2,"adam, rmsprop",50,runs/cnn_attention/tuning_results.csv
cnn_attention,se_ratio,numeric,4,4.000000 .. 16.000000,50,runs/cnn_attention/tuning_results.csv
cnn_attention,spatial_kernel,numeric,2,3.000000 .. 7.000000,50,runs/cnn_attention/tuning_results.csv
cnn_focus_hybrid,backbone_choice,categorical,3,"custom_cnn, efficientnetb0, mobilenetv2",50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,batchnorm,numeric,2,0.000000 .. 1.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,dropout,numeric,5,0.000000 .. 0.400000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,filters_base,numeric,7,16.000000 .. 64.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,focus_units,numeric,5,0.000000 .. 128.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,fusion_dropout,numeric,5,0.000000 .. 0.400000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,fusion_layers,numeric,3,1.000000 .. 3.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,fusion_units,numeric,16,32.000000 .. 512.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,kernel_size,numeric,2,3.000000 .. 5.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,l2,numeric,62,0.000002 .. 0.000993,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,learning_rate,numeric,62,0.000116 .. 0.000995,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,num_blocks,numeric,4,2.000000 .. 5.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,optimizer,categorical,2,"adam, rmsprop",50,runs/cnn_focus_hybrid/tuning_results.csv
cnn_focus_hybrid,unfreeze_top,numeric,5,0.000000 .. 20.000000,50,runs/cnn_focus_hybrid/tuning_results.csv
