trial_id,score,status,num_blocks,filters_base,kernel_size,dropout,batchnorm,dense_units,l2_reg,optimizer,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,family,tuner_type,objective,batch_size,epochs_configured,learning_rate_std,optimizer_std,dropout_std,dense_units_std,depth_std,backbone_std,score_rank_within_family,attention_type,se_ratio,attention_placement,spatial_kernel,num_layers,units,activation,l2,backbone_choice,focus_units,fusion_layers,fusion_units,fusion_dropout,unfreeze_top
7,0.9968095421791076,COMPLETED,5.0,48.0,3.0,0.0,1.0,256.0,0.0008271705653423,adam,0.0001274997881686,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001274997881686,adam,0.0,256,5,,1.0,,,,,,,,,,,,,,
46,0.9954710006713868,COMPLETED,5.0,48.0,3.0,0.0,1.0,256.0,0.0008271705653423,adam,0.0001274997881686,17.0,6.0,3.0,2.0,34.0,cnn,hyperband,val_auc,32,50,0.0001274997881686,adam,0.0,256,5,,2.0,,,,,,,,,,,,,,
34,0.993075668811798,COMPLETED,5.0,48.0,3.0,0.0,1.0,256.0,0.0008271705653423,adam,0.0001274997881686,6.0,2.0,3.0,1.0,7.0,cnn,hyperband,val_auc,32,50,0.0001274997881686,adam,0.0,256,5,,3.0,,,,,,,,,,,,,,
76,0.9927937984466552,COMPLETED,4.0,40.0,3.0,0.2,1.0,192.0,0.0004821622586048,rmsprop,0.0007342753081583,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0007342753081583,rmsprop,0.2,192,4,,4.0,,,,,,,,,,,,,,
64,0.992129683494568,COMPLETED,4.0,56.0,3.0,0.4,1.0,192.0,0.0005926779558565,adam,0.0003447290699761,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003447290699761,adam,0.4,192,4,,5.0,,,,,,,,,,,,,,
37,0.9919082522392272,COMPLETED,4.0,16.0,3.0,0.2,1.0,192.0,0.0006218904314465,rmsprop,0.0009694539380283,6.0,2.0,3.0,1.0,24.0,cnn,hyperband,val_auc,32,50,0.0009694539380283,rmsprop,0.2,192,4,,6.0,,,,,,,,,,,,,,
35,0.9917171001434326,COMPLETED,5.0,56.0,3.0,0.2,0.0,0.0,6.32628630715304e-06,adam,0.000198581047885,6.0,2.0,3.0,1.0,32.0,cnn,hyperband,val_auc,32,50,0.000198581047885,adam,0.2,0,5,,7.0,,,,,,,,,,,,,,
32,0.9901570081710817,COMPLETED,5.0,56.0,3.0,0.2,0.0,0.0,6.32628630715304e-06,adam,0.000198581047885,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.000198581047885,adam,0.2,0,5,,8.0,,,,,,,,,,,,,,
57,0.9899657368659972,COMPLETED,3.0,64.0,3.0,0.0,1.0,256.0,3.522784379453303e-05,adam,0.0005479177682935,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005479177682935,adam,0.0,256,3,,9.0,,,,,,,,,,,,,,
48,0.989482581615448,COMPLETED,5.0,56.0,3.0,0.2,0.0,0.0,6.32628630715304e-06,adam,0.000198581047885,17.0,6.0,3.0,2.0,35.0,cnn,hyperband,val_auc,32,50,0.000198581047885,adam,0.2,0,5,,10.0,,,,,,,,,,,,,,
47,0.989170789718628,COMPLETED,4.0,16.0,3.0,0.2,1.0,192.0,0.0006218904314465,rmsprop,0.0009694539380283,17.0,6.0,3.0,2.0,37.0,cnn,hyperband,val_auc,32,50,0.0009694539380283,rmsprop,0.2,192,4,,11.0,,,,,,,,,,,,,,
51,0.9889492988586426,COMPLETED,5.0,56.0,3.0,0.2,0.0,0.0,6.32628630715304e-06,adam,0.000198581047885,50.0,17.0,3.0,3.0,48.0,cnn,hyperband,val_auc,32,50,0.000198581047885,adam,0.2,0,5,,12.0,,,,,,,,,,,,,,
50,0.98883855342865,COMPLETED,5.0,48.0,3.0,0.0,1.0,256.0,0.0008271705653423,adam,0.0001274997881686,50.0,17.0,3.0,3.0,46.0,cnn,hyperband,val_auc,32,50,0.0001274997881686,adam,0.0,256,5,,13.0,,,,,,,,,,,,,,
18,0.98854660987854,COMPLETED,3.0,40.0,3.0,0.2,1.0,128.0,0.0003847045824459,rmsprop,0.0004566366132229,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0004566366132229,rmsprop,0.2,128,3,,14.0,,,,,,,,,,,,,,
58,0.9864030480384828,COMPLETED,5.0,24.0,3.0,0.0,1.0,192.0,0.0007983215131971,rmsprop,0.0002323756629003,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0002323756629003,rmsprop,0.0,192,5,,15.0,,,,,,,,,,,,,,
43,0.985859513282776,COMPLETED,4.0,40.0,3.0,0.2,1.0,128.0,0.0006986371849031,adam,0.0005009769004545,6.0,2.0,3.0,1.0,30.0,cnn,hyperband,val_auc,32,50,0.0005009769004545,adam,0.2,128,4,,16.0,,,,,,,,,,,,,,
77,0.981894075870514,COMPLETED,4.0,16.0,3.0,0.0,1.0,0.0,0.0008149016479579,rmsprop,0.0009451937190871,17.0,0.0,1.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009451937190871,rmsprop,0.0,0,4,,17.0,,,,,,,,,,,,,,
71,0.9801731705665588,COMPLETED,3.0,24.0,3.0,0.0,1.0,64.0,0.0002370863065109,adam,0.0009155911093474,17.0,6.0,2.0,1.0,63.0,cnn,hyperband,val_auc,32,50,0.0009155911093474,adam,0.0,64,3,,18.0,,,,,,,,,,,,,,
24,0.9793781042099,COMPLETED,4.0,16.0,3.0,0.2,1.0,192.0,0.0006218904314465,rmsprop,0.0009694539380283,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0009694539380283,rmsprop,0.2,192,4,,19.0,,,,,,,,,,,,,,
