family,dataset,eval_type,seed,auc,f1,acc,precision,recall,fp,fn
cnn,TBSI,standard,,1.0,1.0,1.0,1.0,1.0,0,0
cnn,bma,standard,,0.9927272727272727,0.7499999999999999,0.9666666666666667,1.0,0.6,0,2
cnn,pbs_imgs,standard,,0.9772727272727273,0.7692307692307692,0.9541984732824428,0.6666666666666666,0.9090909090909091,5,1
cnn,tbf_imgs,standard,,0.9926948051948051,0.9152542372881356,0.9851190476190477,0.8709677419354839,0.9642857142857143,4,1
cnn,wbc,standard,,1.0,0.9777777777777777,0.9943181818181818,0.9565217391304348,1.0,1,0
cnn_attention,TBSI,standard,,1.0,0.9090909090909091,0.975,0.8333333333333334,1.0,1,0
cnn_attention,bma,standard,,0.989090909090909,0.625,0.9,0.45454545454545453,1.0,6,0
cnn_attention,pbs_imgs,standard,,0.9856060606060606,0.5789473684210525,0.8778625954198473,0.4074074074074074,1.0,16,0
cnn_attention,tbf_imgs,standard,,0.9952458256029685,0.8852459016393442,0.9791666666666666,0.8181818181818182,0.9642857142857143,6,1
cnn_attention,wbc,standard,,1.0,0.9777777777777777,0.9943181818181818,0.9565217391304348,1.0,1,0
cnn_focus_hybrid,TBSI,standard,,1.0,0.888888888888889,0.975,1.0,0.8,0,1
cnn_focus_hybrid,bma,standard,,0.989090909090909,0.6666666666666666,0.9333333333333333,0.5714285714285714,0.8,3,1
cnn_focus_hybrid,pbs_imgs,standard,,0.9734848484848485,0.6666666666666666,0.9236641221374046,0.5263157894736842,0.9090909090909091,9,1
cnn_focus_hybrid,tbf_imgs,standard,,0.9548933209647494,0.8666666666666666,0.9761904761904762,0.8125,0.9285714285714286,6,2
cnn_focus_hybrid,wbc,standard,,0.9988193624557261,0.9268292682926829,0.9829545454545454,1.0,0.8636363636363636,0,3
focus_dnn,TBSI,standard,,0.9771428571428572,0.2222222222222222,0.125,0.125,1.0,35,0
focus_dnn,bma,standard,,0.8327272727272728,0.27777777777777773,0.5666666666666667,0.16129032258064516,1.0,26,0
focus_dnn,pbs_imgs,standard,,0.8856060606060606,0.45454545454545453,0.816793893129771,0.30303030303030304,0.9090909090909091,23,1
focus_dnn,tbf_imgs,standard,,0.9394712430426716,0.0,0.9166666666666666,0.0,0.0,0,28
focus_dnn,wbc,standard,,0.9979338842975207,0.9333333333333332,0.9829545454545454,0.9130434782608695,0.9545454545454546,2,1
hybrid_vit,TBSI,standard,,1.0,0.9090909090909091,0.975,0.8333333333333334,1.0,1,0
hybrid_vit,bma,standard,,0.9527272727272728,0.6,0.9333333333333333,0.6,0.6,2,2
hybrid_vit,pbs_imgs,standard,,0.9098484848484848,0.7407407407407406,0.9465648854961832,0.625,0.9090909090909091,6,1
hybrid_vit,tbf_imgs,standard,,0.9294990723562153,0.5151515151515151,0.9047619047619048,0.4473684210526316,0.6071428571428571,21,11
hybrid_vit,wbc,standard,,0.9988193624557261,0.9545454545454546,0.9886363636363636,0.9545454545454546,0.9545454545454546,1,1
transfer,TBSI,standard,,1.0,0.9090909090909091,0.975,0.8333333333333334,1.0,1,0
transfer,bma,standard,,0.9418181818181819,0.6666666666666665,0.95,0.75,0.6,1,2
transfer,pbs_imgs,standard,,0.9651515151515152,0.6153846153846153,0.9236641221374046,0.5333333333333333,0.7272727272727273,7,3
transfer,tbf_imgs,standard,,0.9669526901669758,0.611764705882353,0.9017857142857143,0.45614035087719296,0.9285714285714286,31,2
transfer,wbc,standard,,0.9991145218417946,0.9545454545454546,0.9886363636363636,0.9545454545454546,0.9545454545454546,1,1
vit,TBSI,standard,,0.8057142857142857,0.6153846153846154,0.875,0.5,0.8,4,1
vit,bma,standard,,0.9527272727272726,0.0,0.9166666666666666,0.0,0.0,0,5
vit,pbs_imgs,standard,,0.8204545454545454,0.19999999999999998,0.816793893129771,0.15789473684210525,0.2727272727272727,16,8
vit,tbf_imgs,standard,,0.4935064935064935,0.0,0.9166666666666666,0.0,0.0,0,28
vit,wbc,standard,,0.9737308146399055,0.7200000000000001,0.9204545454545454,0.6428571428571429,0.8181818181818182,10,4
classical_ml,TBSI,standard,,1.0,0.7499999999999999,0.95,1.0,0.6,0,2
classical_ml,bma,standard,,0.9854545454545456,0.6666666666666665,0.95,0.75,0.6,1,2
classical_ml,pbs_imgs,standard,,0.9356060606060608,0.4444444444444444,0.9236641221374046,0.5714285714285714,0.3636363636363636,3,7
classical_ml,tbf_imgs,standard,,0.5,0.0,0.9166666666666666,0.0,0.0,0,28
classical_ml,wbc,standard,,0.9873081463990556,0.9545454545454546,0.9886363636363636,0.9545454545454546,0.9545454545454546,1,1
