layer_index,layer_name,layer_type,output_shape,parameter_count,trainable
0,input_layer_22,InputLayer,"(None, 224, 224, 3)",0,True
1,patchify,Conv2D,"(None, 28, 28, 64)",12352,True
2,reshape_22,Reshape,"(None, 784, 64)",0,True
3,_cls_token_11,_CLSToken,"(None, 785, 64)",64,True
4,__positional_embedding_22,_PositionalEmbedding,"(None, 785, 64)",50240,True
5,layer_normalization_250,LayerNormalization,"(None, 785, 64)",128,True
6,multi_head_attention_114,MultiHeadAttention,"(None, 785, 64)",16640,True
7,add_228,Add,"(None, 785, 64)",0,True
8,layer_normalization_251,LayerNormalization,"(None, 785, 64)",128,True
9,dense_250,Dense,"(None, 785, 256)",16640,True
10,dense_251,Dense,"(None, 785, 64)",16448,True
11,add_229,Add,"(None, 785, 64)",0,True
12,layer_normalization_252,LayerNormalization,"(None, 785, 64)",128,True
13,multi_head_attention_115,MultiHeadAttention,"(None, 785, 64)",16640,True
14,add_230,Add,"(None, 785, 64)",0,True
15,layer_normalization_253,LayerNormalization,"(None, 785, 64)",128,True
16,dense_252,Dense,"(None, 785, 256)",16640,True
17,dense_253,Dense,"(None, 785, 64)",16448,True
18,add_231,Add,"(None, 785, 64)",0,True
19,layer_normalization_254,LayerNormalization,"(None, 785, 64)",128,True
20,multi_head_attention_116,MultiHeadAttention,"(None, 785, 64)",16640,True
21,add_232,Add,"(None, 785, 64)",0,True
22,layer_normalization_255,LayerNormalization,"(None, 785, 64)",128,True
23,dense_254,Dense,"(None, 785, 256)",16640,True
24,dense_255,Dense,"(None, 785, 64)",16448,True
25,add_233,Add,"(None, 785, 64)",0,True
26,layer_normalization_256,LayerNormalization,"(None, 785, 64)",128,True
27,multi_head_attention_117,MultiHeadAttention,"(None, 785, 64)",16640,True
28,add_234,Add,"(None, 785, 64)",0,True
29,layer_normalization_257,LayerNormalization,"(None, 785, 64)",128,True
30,dense_256,Dense,"(None, 785, 256)",16640,True
31,dense_257,Dense,"(None, 785, 64)",16448,True
32,add_235,Add,"(None, 785, 64)",0,True
33,layer_normalization_258,LayerNormalization,"(None, 785, 64)",128,True
34,multi_head_attention_118,MultiHeadAttention,"(None, 785, 64)",16640,True
35,add_236,Add,"(None, 785, 64)",0,True
36,layer_normalization_259,LayerNormalization,"(None, 785, 64)",128,True
37,dense_258,Dense,"(None, 785, 256)",16640,True
38,dense_259,Dense,"(None, 785, 64)",16448,True
39,add_237,Add,"(None, 785, 64)",0,True
40,layer_normalization_260,LayerNormalization,"(None, 785, 64)",128,True
41,multi_head_attention_119,MultiHeadAttention,"(None, 785, 64)",16640,True
42,add_238,Add,"(None, 785, 64)",0,True
43,layer_normalization_261,LayerNormalization,"(None, 785, 64)",128,True
44,dense_260,Dense,"(None, 785, 256)",16640,True
45,dense_261,Dense,"(None, 785, 64)",16448,True
46,add_239,Add,"(None, 785, 64)",0,True
47,layer_normalization_262,LayerNormalization,"(None, 785, 64)",128,True
48,multi_head_attention_120,MultiHeadAttention,"(None, 785, 64)",16640,True
49,add_240,Add,"(None, 785, 64)",0,True
50,layer_normalization_263,LayerNormalization,"(None, 785, 64)",128,True
51,dense_262,Dense,"(None, 785, 256)",16640,True
52,dense_263,Dense,"(None, 785, 64)",16448,True
53,add_241,Add,"(None, 785, 64)",0,True
54,layer_normalization_264,LayerNormalization,"(None, 785, 64)",128,True
55,multi_head_attention_121,MultiHeadAttention,"(None, 785, 64)",16640,True
56,add_242,Add,"(None, 785, 64)",0,True
57,layer_normalization_265,LayerNormalization,"(None, 785, 64)",128,True
58,dense_264,Dense,"(None, 785, 256)",16640,True
59,dense_265,Dense,"(None, 785, 64)",16448,True
60,add_243,Add,"(None, 785, 64)",0,True
61,layer_normalization_266,LayerNormalization,"(None, 785, 64)",128,True
62,dense_266,Dense,"(None, 1)",65,True
