dataset,model_code_name,model_display_name,flag,AUC,flipped_AUC,F1,accuracy,majority_class_baseline
TBF,classical_ml,Classical ML,AUC <= 0.55,0.5,,0.0,0.9166666666666666,0.9166666666666666
TBF,classical_ml,Classical ML,F1 == 0,0.5,,0.0,0.9166666666666666,0.9166666666666666
TBF,classical_ml,Classical ML,predicted_positive_count == 0,0.5,,0.0,0.9166666666666666,0.9166666666666666
BMA,focus_dnn,Focus-DNN,severe dataset-specific failure,0.8327272727272728,,0.27777777777777773,0.5666666666666667,0.9166666666666666
TBF,focus_dnn,Focus-DNN,F1 == 0,0.9394712430426716,,0.0,0.9166666666666666,0.9166666666666666
TBF,focus_dnn,Focus-DNN,predicted_positive_count == 0,0.9394712430426716,,0.0,0.9166666666666666,0.9166666666666666
TBSI,focus_dnn,Focus-DNN,accuracy < 0.50,0.9771428571428572,,0.2222222222222222,0.125,0.875
TBSI,focus_dnn,Focus-DNN,predicted_negative_count == 0,0.9771428571428572,,0.2222222222222222,0.125,0.875
TBSI,focus_dnn,Focus-DNN,severe dataset-specific failure,0.9771428571428572,,0.2222222222222222,0.125,0.875
BMA,threshold_baselines,Threshold baselines,accuracy < 0.50,0.7909090909090909,,0.23255813953488372,0.45,0.9166666666666666
BMA,threshold_baselines,Threshold baselines,severe dataset-specific failure,0.7909090909090909,,0.23255813953488372,0.45,0.9166666666666666
PBS,threshold_baselines,Threshold baselines,severe dataset-specific failure,0.8416666666666667,,0.2985074626865672,0.6412213740458015,0.916030534351145
TBF,threshold_baselines,Threshold baselines,AUC <= 0.55,0.5,,0.0,0.9166666666666666,0.9166666666666666
TBF,threshold_baselines,Threshold baselines,F1 == 0,0.5,,0.0,0.9166666666666666,0.9166666666666666
TBF,threshold_baselines,Threshold baselines,predicted_positive_count == 0,0.5,,0.0,0.9166666666666666,0.9166666666666666
BMA,vit,ViT,F1 == 0,0.9527272727272726,,0.0,0.9166666666666666,0.9166666666666666
BMA,vit,ViT,predicted_positive_count == 0,0.9527272727272726,,0.0,0.9166666666666666,0.9166666666666666
TBF,vit,ViT,AUC <= 0.55,0.4935064935064935,0.5064935064935064,0.0,0.9166666666666666,0.9166666666666666
TBF,vit,ViT,F1 == 0,0.4935064935064935,0.5064935064935064,0.0,0.9166666666666666,0.9166666666666666
TBF,vit,ViT,predicted_positive_count == 0,0.4935064935064935,0.5064935064935064,0.0,0.9166666666666666,0.9166666666666666
TBF,vit,ViT,probability orientation suspicion,0.4935064935064935,0.5064935064935064,0.0,0.9166666666666666,0.9166666666666666
