model_code_name,holdout_dataset,status,action,train_allowed,job_marker
cnn,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_WBC.json
cnn_attention,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_WBC.json
cnn_focus_hybrid,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_WBC.json
transfer,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_WBC.json
hybrid_vit,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_WBC.json
classical_ml,WBC,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_WBC.json
cnn,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_TBF.json
cnn_attention,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_TBF.json
cnn_focus_hybrid,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_TBF.json
transfer,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_TBF.json
hybrid_vit,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_TBF.json
classical_ml,TBF,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_TBF.json
cnn,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_PBS.json
cnn_attention,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_PBS.json
cnn_focus_hybrid,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_PBS.json
transfer,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_PBS.json
hybrid_vit,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_PBS.json
classical_ml,PBS,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_PBS.json
cnn,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_BMA.json
cnn_attention,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_BMA.json
cnn_focus_hybrid,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_BMA.json
transfer,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_BMA.json
hybrid_vit,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_BMA.json
classical_ml,BMA,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_BMA.json
cnn,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_TBSI.json
cnn_attention,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_TBSI.json
cnn_focus_hybrid,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_TBSI.json
transfer,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_TBSI.json
hybrid_vit,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_TBSI.json
classical_ml,TBSI,complete,skip_complete,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_TBSI.json
