dataset,image_path,label,stack_id,patient_id,source,split,source_stack_id,leakage_group_id
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_0\pos000_0_page_8.png,1,bma::pos000_0,,dataset,train,pos000_0,bma::pos000_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_1\pos000_1_page_8.png,1,bma::pos000_1,,dataset,test,pos000_1,bma::pos000_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_2\pos000_2_page_8.png,1,bma::pos000_2,,dataset,train,pos000_2,bma::pos000_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_3\pos000_3_page_8.png,1,bma::pos000_3,,dataset,train,pos000_3,bma::pos000_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_0\pos001_0_page_8.png,1,bma::pos001_0,,dataset,train,pos001_0,bma::pos001_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_1\pos001_1_page_2.png,1,bma::pos001_1,,dataset,test,pos001_1,bma::pos001_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_2\pos001_2_page_4.png,1,bma::pos001_2,,dataset,val,pos001_2,bma::pos001_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_3\pos001_3_page_5.png,1,bma::pos001_3,,dataset,train,pos001_3,bma::pos001_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_0\pos002_0_page_2.png,1,bma::pos002_0,,dataset,train,pos002_0,bma::pos002_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_1\pos002_1_page_2.png,1,bma::pos002_1,,dataset,test,pos002_1,bma::pos002_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_2\pos002_2_page_2.png,1,bma::pos002_2,,dataset,train,pos002_2,bma::pos002_2
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_3\pos002_3_page_5.png,1,bma::pos002_3,,dataset,train,pos002_3,bma::pos002_3
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_0\pos003_0_page_4.png,1,bma::pos003_0,,dataset,train,pos003_0,bma::pos003_0
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_1\pos003_1_page_4.png,1,bma::pos003_1,,dataset,train,pos003_1,bma::pos003_1
bma,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_2\pos003_2_page_6.png,1,bma::pos003_2,,dataset,train,pos003_2,bma::pos003_2
