seed,split,mode,threshold,coverage,risk,auc,f1,temperature
55,test,tau,0.5,1.0,0.11724137931034484,0.8562922573609597,0.47852760736196315,0.27844069954726347
55,test,tau,0.5257894736842105,0.9917241379310345,0.11682892906815023,0.8577257525083611,0.475,0.27844069954726347
55,test,tau,0.5515789473684211,0.9848275862068966,0.11344537815126055,0.8601056061116727,0.48407643312101906,0.27844069954726347
55,test,tau,0.5773684210526315,0.96,0.11494252873563215,0.8673192206819034,0.48717948717948717,0.27844069954726347
55,test,tau,0.6031578947368421,0.9462068965517242,0.11224489795918369,0.8710245219781545,0.4900662251655629,0.27844069954726347
55,test,tau,0.6289473684210526,0.9393103448275862,0.10866372980910421,0.8709290709290709,0.4931506849315069,0.27844069954726347
55,test,tau,0.6547368421052632,0.9172413793103448,0.11127819548872175,0.8781198003327787,0.4861111111111111,0.27844069954726347
55,test,tau,0.6805263157894736,0.9075862068965517,0.10942249240121582,0.8807523009203682,0.48571428571428565,0.27844069954726347
55,test,tau,0.7063157894736842,0.9020689655172414,0.11009174311926606,0.8830607257003196,0.48571428571428565,0.27844069954726347
55,test,tau,0.7321052631578947,0.8910344827586207,0.10526315789473684,0.883703071672355,0.49253731343283585,0.27844069954726347
55,test,tau,0.7578947368421052,0.88,0.09874608150470221,0.8854637336504162,0.5116279069767443,0.27844069954726347
55,test,tau,0.7836842105263158,0.8468965517241379,0.09283387622149841,0.8931216931216932,0.5210084033613446,0.27844069954726347
55,test,tau,0.8094736842105263,0.7820689655172414,0.0864197530864198,0.9114157119476268,0.5585585585585585,0.27844069954726347
55,test,tau,0.8352631578947368,0.7158620689655173,0.07321772639691715,0.9184265236896816,0.62,0.27844069954726347
55,test,tau,0.8610526315789473,0.5075862068965518,0.08967391304347827,0.94997854997855,0.6451612903225806,0.27844069954726347
55,test,tau,0.8868421052631579,0.45655172413793105,0.0785498489425982,0.9615830115830115,0.6976744186046512,0.27844069954726347
55,test,tau,0.9126315789473685,0.4068965517241379,0.06101694915254241,0.9686311787072243,0.7692307692307693,0.27844069954726347
55,test,tau,0.9384210526315789,0.3793103448275862,0.047272727272727244,0.9711934156378601,0.821917808219178,0.27844069954726347
55,test,tau,0.9642105263157894,0.3627586206896552,0.03802281368821292,0.972943722943723,0.8571428571428572,0.27844069954726347
55,test,tau,0.99,0.3296551724137931,0.03347280334728031,0.9773399014778326,0.8709677419354839,0.27844069954726347
55,test,delta,0.0,1.0,0.11724137931034484,0.8562922573609597,0.47852760736196315,0.27844069954726347
55,test,delta,0.025789473684210525,0.9917241379310345,0.11682892906815023,0.8577257525083611,0.475,0.27844069954726347
55,test,delta,0.05157894736842105,0.9848275862068966,0.11344537815126055,0.8601056061116727,0.48407643312101906,0.27844069954726347
55,test,delta,0.07736842105263157,0.96,0.11494252873563215,0.8673192206819034,0.48717948717948717,0.27844069954726347
55,test,delta,0.1031578947368421,0.9462068965517242,0.11224489795918369,0.8710245219781545,0.4900662251655629,0.27844069954726347
55,test,delta,0.12894736842105262,0.9393103448275862,0.10866372980910421,0.8709290709290709,0.4931506849315069,0.27844069954726347
55,test,delta,0.15473684210526314,0.9172413793103448,0.11127819548872175,0.8781198003327787,0.4861111111111111,0.27844069954726347
55,test,delta,0.18052631578947367,0.9075862068965517,0.10942249240121582,0.8807523009203682,0.48571428571428565,0.27844069954726347
55,test,delta,0.2063157894736842,0.9020689655172414,0.11009174311926606,0.8830607257003196,0.48571428571428565,0.27844069954726347
55,test,delta,0.23210526315789473,0.8910344827586207,0.10526315789473684,0.883703071672355,0.49253731343283585,0.27844069954726347
55,test,delta,0.25789473684210523,0.88,0.09874608150470221,0.8854637336504162,0.5116279069767443,0.27844069954726347
55,test,delta,0.28368421052631576,0.8468965517241379,0.09283387622149841,0.8931216931216932,0.5210084033613446,0.27844069954726347
55,test,delta,0.3094736842105263,0.7820689655172414,0.0864197530864198,0.9114157119476268,0.5585585585585585,0.27844069954726347
55,test,delta,0.3352631578947368,0.7158620689655173,0.07321772639691715,0.9184265236896816,0.62,0.27844069954726347
55,test,delta,0.36105263157894735,0.5075862068965518,0.08967391304347827,0.94997854997855,0.6451612903225806,0.27844069954726347
55,test,delta,0.3868421052631579,0.45655172413793105,0.0785498489425982,0.9615830115830115,0.6976744186046512,0.27844069954726347
55,test,delta,0.4126315789473684,0.4068965517241379,0.06101694915254241,0.9686311787072243,0.7692307692307693,0.27844069954726347
55,test,delta,0.43842105263157893,0.3793103448275862,0.047272727272727244,0.9711934156378601,0.821917808219178,0.27844069954726347
55,test,delta,0.46421052631578946,0.3627586206896552,0.03802281368821292,0.972943722943723,0.8571428571428572,0.27844069954726347
55,test,delta,0.49,0.3296551724137931,0.03347280334728031,0.9773399014778326,0.8709677419354839,0.27844069954726347
55,test,tau_summary,0.9,0.44413793103448274,0.06521739130434778,0.9648736499947573,0.7407407407407406,0.27844069954726347
55,test,delta_summary,0.1,0.9489655172413793,0.11191860465116277,0.8712998102466794,0.4967320261437909,0.27844069954726347
