seed,split,mode,threshold,coverage,risk,auc,f1,temperature
55,test,tau,0.5,1.0,0.1737931034482758,0.7971428571428572,0.3762376237623762,1.226875553319909
55,test,tau,0.5257894736842105,0.9889655172413793,0.17154811715481166,0.799024870280909,0.38190954773869346,1.226875553319909
55,test,tau,0.5515789473684211,0.9751724137931035,0.1626591230551626,0.8015281229862837,0.3979057591623037,1.226875553319909
55,test,tau,0.5773684210526315,0.9613793103448276,0.15781922525107606,0.804027481639422,0.40217391304347827,1.226875553319909
55,test,tau,0.6031578947368421,0.9420689655172414,0.14494875549048314,0.8033282130056323,0.4210526315789474,1.226875553319909
55,test,tau,0.6289473684210526,0.9282758620689655,0.14115898959881135,0.8053165091600233,0.4311377245508982,1.226875553319909
55,test,tau,0.6547368421052632,0.9006896551724138,0.13935681470137828,0.8112538768276473,0.43478260869565216,1.226875553319909
55,test,tau,0.6805263157894736,0.8731034482758621,0.1311216429699842,0.8195574916886392,0.4575163398692811,1.226875553319909
55,test,tau,0.7063157894736842,0.8524137931034482,0.12783171521035597,0.8170754956786985,0.43971631205673756,1.226875553319909
55,test,tau,0.7321052631578947,0.8289655172413793,0.1264559068219634,0.8212133522919629,0.4411764705882353,1.226875553319909
55,test,tau,0.7578947368421052,0.8165517241379311,0.12331081081081086,0.8256574418284456,0.4511278195488722,1.226875553319909
55,test,tau,0.7836842105263158,0.8,0.11379310344827587,0.8296158390319001,0.467741935483871,1.226875553319909
55,test,tau,0.8094736842105263,0.7820689655172414,0.10405643738977077,0.8295164410058027,0.4869565217391305,1.226875553319909
55,test,tau,0.8352631578947368,0.7572413793103449,0.10018214936247727,0.831397813003306,0.48598130841121495,1.226875553319909
55,test,tau,0.8610526315789473,0.7020689655172414,0.09037328094302555,0.8484195402298851,0.5306122448979591,1.226875553319909
55,test,tau,0.8868421052631579,0.6551724137931034,0.07578947368421052,0.855,0.5609756097560975,1.226875553319909
55,test,tau,0.9126315789473685,0.6248275862068966,0.06622516556291391,0.8482381019233469,0.5588235294117647,1.226875553319909
55,test,tau,0.9384210526315789,0.5751724137931035,0.05995203836930452,0.8703440656565656,0.6031746031746033,1.226875553319909
55,test,tau,0.9642105263157894,0.5213793103448275,0.044973544973545,0.8897509578544062,0.6792452830188679,1.226875553319909
55,test,tau,0.99,0.34758620689655173,0.019841269841269882,0.9431786216596343,0.8148148148148148,1.226875553319909
55,test,delta,0.0,1.0,0.1737931034482758,0.7971428571428572,0.3762376237623762,1.226875553319909
55,test,delta,0.025789473684210525,0.9889655172413793,0.17154811715481166,0.799024870280909,0.38190954773869346,1.226875553319909
55,test,delta,0.05157894736842105,0.9751724137931035,0.1626591230551626,0.8015281229862837,0.3979057591623037,1.226875553319909
55,test,delta,0.07736842105263157,0.9613793103448276,0.15781922525107606,0.804027481639422,0.40217391304347827,1.226875553319909
55,test,delta,0.1031578947368421,0.9420689655172414,0.14494875549048314,0.8033282130056323,0.4210526315789474,1.226875553319909
55,test,delta,0.12894736842105262,0.9282758620689655,0.14115898959881135,0.8053165091600233,0.4311377245508982,1.226875553319909
55,test,delta,0.15473684210526314,0.9006896551724138,0.13935681470137828,0.8112538768276473,0.43478260869565216,1.226875553319909
55,test,delta,0.18052631578947367,0.8731034482758621,0.1311216429699842,0.8195574916886392,0.4575163398692811,1.226875553319909
55,test,delta,0.2063157894736842,0.8524137931034482,0.12783171521035597,0.8170754956786985,0.43971631205673756,1.226875553319909
55,test,delta,0.23210526315789473,0.8289655172413793,0.1264559068219634,0.8212133522919629,0.4411764705882353,1.226875553319909
55,test,delta,0.25789473684210523,0.8165517241379311,0.12331081081081086,0.8256574418284456,0.4511278195488722,1.226875553319909
55,test,delta,0.28368421052631576,0.8,0.11379310344827587,0.8296158390319001,0.467741935483871,1.226875553319909
55,test,delta,0.3094736842105263,0.7820689655172414,0.10405643738977077,0.8295164410058027,0.4869565217391305,1.226875553319909
55,test,delta,0.3352631578947368,0.7572413793103449,0.10018214936247727,0.831397813003306,0.48598130841121495,1.226875553319909
55,test,delta,0.36105263157894735,0.7020689655172414,0.09037328094302555,0.8484195402298851,0.5306122448979591,1.226875553319909
55,test,delta,0.3868421052631579,0.6551724137931034,0.07578947368421052,0.855,0.5609756097560975,1.226875553319909
55,test,delta,0.4126315789473684,0.6248275862068966,0.06622516556291391,0.8482381019233469,0.5588235294117647,1.226875553319909
55,test,delta,0.43842105263157893,0.5751724137931035,0.05995203836930452,0.8703440656565656,0.6031746031746033,1.226875553319909
55,test,delta,0.46421052631578946,0.5213793103448275,0.044973544973545,0.8897509578544062,0.6792452830188679,1.226875553319909
55,test,delta,0.49,0.34758620689655173,0.019841269841269882,0.9431786216596343,0.8148148148148148,1.226875553319909
55,test,tau_summary,0.9,0.6372413793103449,0.07359307359307354,0.8534181240063593,0.5526315789473685,1.226875553319909
55,test,delta_summary,0.1,0.9475862068965517,0.14701601164483258,0.8034460272873194,0.41618497109826585,1.226875553319909
