dataset,original_source,source_url_or_doi,original_filename,harmonized_id,label,stack_identifier,focal_plane_index,true_focus_index,distance_from_focus,split_assignment,label_provenance_category,image_path
BMA,dataset,,pos000_0_page_8.png,pos000_0_page_8,1,pos000_0,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_0\pos000_0_page_8.png
BMA,dataset,,pos000_1_page_8.png,pos000_1_page_8,1,pos000_1,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_1\pos000_1_page_8.png
BMA,dataset,,pos000_2_page_8.png,pos000_2_page_8,1,pos000_2,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_2\pos000_2_page_8.png
BMA,dataset,,pos000_3_page_8.png,pos000_3_page_8,1,pos000_3,8.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos000_3\pos000_3_page_8.png
BMA,dataset,,pos001_0_page_8.png,pos001_0_page_8,1,pos001_0,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_0\pos001_0_page_8.png
BMA,dataset,,pos001_1_page_2.png,pos001_1_page_2,1,pos001_1,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_1\pos001_1_page_2.png
BMA,dataset,,pos001_2_page_4.png,pos001_2_page_4,1,pos001_2,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_2\pos001_2_page_4.png
BMA,dataset,,pos001_3_page_5.png,pos001_3_page_5,1,pos001_3,5.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos001_3\pos001_3_page_5.png
BMA,dataset,,pos002_0_page_2.png,pos002_0_page_2,1,pos002_0,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_0\pos002_0_page_2.png
BMA,dataset,,pos002_1_page_2.png,pos002_1_page_2,1,pos002_1,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_1\pos002_1_page_2.png
BMA,dataset,,pos002_2_page_2.png,pos002_2_page_2,1,pos002_2,2.0,,,test,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_2\pos002_2_page_2.png
BMA,dataset,,pos002_3_page_5.png,pos002_3_page_5,1,pos002_3,5.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos002_3\pos002_3_page_5.png
BMA,dataset,,pos003_0_page_4.png,pos003_0_page_4,1,pos003_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_0\pos003_0_page_4.png
BMA,dataset,,pos003_1_page_4.png,pos003_1_page_4,1,pos003_1,4.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_1\pos003_1_page_4.png
BMA,dataset,,pos003_2_page_6.png,pos003_2_page_6,1,pos003_2,6.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_2\pos003_2_page_6.png
BMA,dataset,,pos003_3_page_6.png,pos003_3_page_6,1,pos003_3,6.0,,,test,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos003_3\pos003_3_page_6.png
BMA,dataset,,pos004_0_page_2.png,pos004_0_page_2,1,pos004_0,2.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_0\pos004_0_page_2.png
BMA,dataset,,pos004_1_page_10.png,pos004_1_page_10,1,pos004_1,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_1\pos004_1_page_10.png
BMA,dataset,,pos004_2_page_11.png,pos004_2_page_11,1,pos004_2,11.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_2\pos004_2_page_11.png
BMA,dataset,,pos004_3_page_11.png,pos004_3_page_11,1,pos004_3,11.0,,,test,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos004_3\pos004_3_page_11.png
BMA,dataset,,pos005_0_page_10.png,pos005_0_page_10,1,pos005_0,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_0\pos005_0_page_10.png
BMA,dataset,,pos005_1_page_10.png,pos005_1_page_10,1,pos005_1,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_1\pos005_1_page_10.png
BMA,dataset,,pos005_2_page_10.png,pos005_2_page_10,1,pos005_2,10.0,,,test,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_2\pos005_2_page_10.png
BMA,dataset,,pos005_3_page_10.png,pos005_3_page_10,1,pos005_3,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos005_3\pos005_3_page_10.png
BMA,dataset,,pos006_0_page_10.png,pos006_0_page_10,1,pos006_0,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_0\pos006_0_page_10.png
BMA,dataset,,pos006_1_page_8.png,pos006_1_page_8,1,pos006_1,8.0,,,test,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_1\pos006_1_page_8.png
BMA,dataset,,pos006_2_page_10.png,pos006_2_page_10,1,pos006_2,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_2\pos006_2_page_10.png
BMA,dataset,,pos006_3_page_10.png,pos006_3_page_10,1,pos006_3,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos006_3\pos006_3_page_10.png
BMA,dataset,,pos007_0_page_8.png,pos007_0_page_8,1,pos007_0,8.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_0\pos007_0_page_8.png
BMA,dataset,,pos007_1_page_8.png,pos007_1_page_8,1,pos007_1,8.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_1\pos007_1_page_8.png
BMA,dataset,,pos007_2_page_10.png,pos007_2_page_10,1,pos007_2,10.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_2\pos007_2_page_10.png
BMA,dataset,,pos007_3_page_10.png,pos007_3_page_10,1,pos007_3,10.0,,,val,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos007_3\pos007_3_page_10.png
BMA,dataset,,pos008_0_page_4.png,pos008_0_page_4,1,pos008_0,4.0,,,train,derived from source directory,D:\Dineth\focus_binary_benchmark\dataset\bma\focused\pos008_0\pos008_0_page_4.png
