selection_rule,threshold,validation_accuracy,validation_balanced_accuracy,validation_MCC,validation_F1,validation_Youden_J,validation_recall,validation_specificity,model_code_name,model_display_name
fixed_0p50,0.5,0.9881889763779528,0.9623792270531402,0.9305739819087147,0.9370629370629372,0.9247584541062803,0.9305555555555556,0.9942028985507246,cnn,CNN
Youden_J,0.09,0.9829396325459318,0.9781400966183575,0.9075276982507026,0.9150326797385621,0.9562801932367151,0.9722222222222222,0.9840579710144928,cnn,CNN
max_F1,0.52,0.989501312335958,0.9631038647342995,0.9379876652231733,0.943661971830986,0.9262077294685991,0.9305555555555556,0.9956521739130435,cnn,CNN
max_balanced_accuracy,0.09,0.9829396325459318,0.9781400966183575,0.9075276982507026,0.9150326797385621,0.9562801932367151,0.9722222222222222,0.9840579710144928,cnn,CNN
max_MCC,0.52,0.989501312335958,0.9631038647342995,0.9379876652231733,0.943661971830986,0.9262077294685991,0.9305555555555556,0.9956521739130435,cnn,CNN
fixed_0p50,0.5,0.9553805774278216,0.9691425120772947,0.7994585688645331,0.8068181818181818,0.9382850241545895,0.9861111111111112,0.9521739130434783,cnn_attention,Attention-CNN
Youden_J,0.56,0.9619422572178478,0.9727657004830919,0.8226069763832717,0.8304093567251463,0.9455314009661837,0.9861111111111112,0.9594202898550724,cnn_attention,Attention-CNN
max_F1,0.89,0.984251968503937,0.9353260869565218,0.9054383699708423,0.9130434782608695,0.8706521739130435,0.875,0.9956521739130435,cnn_attention,Attention-CNN
max_balanced_accuracy,0.56,0.9619422572178478,0.9727657004830919,0.8226069763832717,0.8304093567251463,0.9455314009661837,0.9861111111111112,0.9594202898550724,cnn_attention,Attention-CNN
max_MCC,0.89,0.984251968503937,0.9353260869565218,0.9054383699708423,0.9130434782608695,0.8706521739130435,0.875,0.9956521739130435,cnn_attention,Attention-CNN
fixed_0p50,0.5,0.9553805774278216,0.9193840579710144,0.7676467622854243,0.7875000000000001,0.8387681159420288,0.875,0.9637681159420289,cnn_focus_hybrid,CNN--focus hybrid
Youden_J,0.23,0.9356955380577427,0.9644927536231884,0.7434949661177755,0.7461139896373057,0.9289855072463769,1.0,0.9289855072463769,cnn_focus_hybrid,CNN--focus hybrid
max_F1,0.4,0.9566929133858267,0.944987922705314,0.7880327988639226,0.8023952095808383,0.8899758454106279,0.9305555555555556,0.9594202898550724,cnn_focus_hybrid,CNN--focus hybrid
max_balanced_accuracy,0.23,0.9356955380577427,0.9644927536231884,0.7434949661177755,0.7461139896373057,0.9289855072463769,1.0,0.9289855072463769,cnn_focus_hybrid,CNN--focus hybrid
