model_code_name,model_display_name,metric,estimate,ci_low,ci_high,bootstrap_iterations
cnn,CNN,balanced_accuracy,0.9643905097250167,0.9368726557287191,0.9882051136349262,2000
cnn,CNN,MCC,0.8958693227541976,0.8387634682300869,0.9460460962111282,2000
cnn,CNN,AUC,0.9935446009389671,0.9860886141623847,0.9984668310128608,2000
cnn,CNN,recall,0.9436619718309859,0.8904067824924825,0.9873417721518988,2000
cnn,CNN,specificity,0.9851190476190477,0.9748502054325496,0.9940029985007496,2000
cnn,CNN,F1,0.9054054054054054,0.8520655270655271,0.9508254041040927,2000
cnn,CNN,ECE,0.013730788714338069,0.0092597034265181,0.02454556677302292,2000
cnn,CNN,Brier score,0.015054746200470428,0.008227011696811554,0.023143891874377754,2000
cnn_attention,Attention-CNN,balanced_accuracy,0.9706363179074446,0.9528547995340858,0.9833843123584548,2000
cnn_attention,Attention-CNN,MCC,0.810818702607675,0.7436742906666282,0.8686306081923896,2000
cnn_attention,Attention-CNN,AUC,0.9958501006036217,0.9920001561209147,0.998568061432233,2000
cnn_attention,Attention-CNN,recall,0.9859154929577465,0.9523617511520737,1.0,2000
cnn_attention,Attention-CNN,specificity,0.9553571428571429,0.938896354915755,0.9701492537313433,2000
cnn_attention,Attention-CNN,F1,0.8187134502923976,0.745550527903469,0.8765508118956395,2000
cnn_attention,Attention-CNN,ECE,0.06443149128432733,0.05301329835093191,0.07705360711290384,2000
cnn_attention,Attention-CNN,Brier score,0.0325594526791175,0.024172533372321742,0.04222840424814291,2000
cnn_focus_hybrid,CNN--focus hybrid,balanced_accuracy,0.9302691146881288,0.8917306889938197,0.9652038902590772,2000
cnn_focus_hybrid,CNN--focus hybrid,MCC,0.811731641744908,0.7352134966230698,0.8760738305701302,2000
cnn_focus_hybrid,CNN--focus hybrid,AUC,0.97761569416499,0.9529075800564569,0.9925485965475904,2000
cnn_focus_hybrid,CNN--focus hybrid,recall,0.8873239436619719,0.8101115129596143,0.9545624151967435,2000
cnn_focus_hybrid,CNN--focus hybrid,specificity,0.9732142857142857,0.9597014925373134,0.9849397590361446,2000
cnn_focus_hybrid,CNN--focus hybrid,F1,0.8289473684210527,0.7552447552447553,0.887505013368984,2000
cnn_focus_hybrid,CNN--focus hybrid,ECE,0.047279219106123115,0.04067027554105836,0.061708709775679424,2000
cnn_focus_hybrid,CNN--focus hybrid,Brier score,0.031090880340646387,0.023522080884342024,0.039809978670678266,2000
transfer,Transfer learning,balanced_accuracy,0.9131560194500336,0.8741341440422323,0.9478253874689808,2000
transfer,Transfer learning,MCC,0.7001495151252212,0.6221700254371545,0.772951713284554,2000
transfer,Transfer learning,AUC,0.9748490945674044,0.9593304738345416,0.986942236972612,2000
transfer,Transfer learning,recall,0.8873239436619719,0.8088235294117647,0.9565217391304348,2000
transfer,Transfer learning,specificity,0.9389880952380952,0.9198783294606285,0.9564580885233059,2000
